Advantech iView路径遍历漏洞,CNVD-2020-49617,2020-08-31,中,AV:N/AC:M/Au:S/C:P/I:P/A:P,远程网络,中,一次,部分地,部分地,部分地,6.0,Advantech iView <=5.7,CVE-2020-16245 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-16245,"Advantech iView是一款供能源、水务与废水行业使用的设备管理应用。

Advantech iView 5.7及更早版本存在路径遍历漏洞，攻击者可利用该漏洞创建/下载任意文件，限制系统可用性及远程执行代码。",通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2020-16245,"厂商已发布了漏洞修复程序，请及时关注更新：
https://www.advantech.tw/support/details/faq?id=1-HIPU-181",/patchInfo/show/232402,Advantech iView路径遍历漏洞的补丁,(暂无验证信息),2020-08-26,2020-08-31,2020-08-31,(无附件)
Philips SureSigns VS4授权问题漏洞,CNVD-2020-49567,2020-08-31,中,AV:N/AC:L/Au:S/C:P/I:N/A:N,远程网络,低,一次,部分地,不受影响,不受影响,4.0,Philips SureSigns VS4 <=A.07.107,CVE-2020-16239 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-16239,"Philips SureSigns VS4是一款生命体征监测仪，用于监测患者的生理参数。

Philips SureSigns VS4 A.07.107及更早版本存在授权问题漏洞，该漏洞源于该产品未能正确验证用户所称的身份，目前没有详细的漏洞细节提供。",通用型漏洞,https://us-cert.cisa.gov/ics/advisories/icsma-20-233-01,"厂商尚未提供漏洞修复方案，请关注厂商主页更新：
https://www.usa.philips.com/healthcare/product/HC863283/suresigns-vs4-vital-signs-monitor",,(无补丁信息),(暂无验证信息),2020-08-21,2020-08-31,2020-08-31,(无附件)
Philips SureSigns VS4访问控制错误漏洞,CNVD-2020-49568,2020-08-31,低,AV:L/AC:L/Au:N/C:P/I:N/A:N,本地,低,不需要认证,部分地,不受影响,不受影响,2.1,Philips SureSigns VS4 <=A.07.107,CVE-2020-16241 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-16241,"Philips SureSigns VS4是一款生命体征监测仪，用于监测患者的生理参数。

Philips SureSigns VS4 A.07.107及更早版本存在访问控制错误漏洞。攻击者可利用该漏洞越权访问资源。",通用型漏洞,https://us-cert.cisa.gov/ics/advisories/icsma-20-233-01,"厂商尚未提供漏洞修复方案，请关注厂商主页更新：
https://www.usa.philips.com/healthcare/product/HC863283/suresigns-vs4-vital-signs-monitor",,(无补丁信息),(暂无验证信息),2020-08-21,2020-08-31,2020-08-31,(无附件)
Philips SureSigns VS4输入验证错误漏洞,CNVD-2020-49569,2020-08-31,低,AV:L/AC:L/Au:N/C:N/I:N/A:P,本地,低,不需要认证,不受影响,不受影响,部分地,2.1,Philips SureSigns VS4 <=A.07.107,CVE-2020-16237 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-16237,"Philips SureSigns VS4是一款生命体征监测仪，用于监测患者的生理参数。

Philips SureSigns VS4 A.07.107及更早版本存在输入验证错误漏洞，该漏洞源于该产品未验证或未能正确验证输入是否具有安全正确地处理数据所需的属性。目前没有详细的漏洞细节提供。",通用型漏洞,https://us-cert.cisa.gov/ics/advisories/icsma-20-233-01,"厂商尚未提供漏洞修复方案，请关注厂商主页更新：
https://www.usa.philips.com/healthcare/product/HC863283/suresigns-vs4-vital-signs-monitor",,(无补丁信息),(暂无验证信息),2020-08-21,2020-08-31,2020-08-31,(无附件)
Tridium Niagara和Niagara Enterprise Security存在未明漏洞,CNVD-2020-49618,2020-08-31,低,AV:A/AC:L/Au:N/C:N/I:N/A:P,邻近网络,低,不需要认证,不受影响,不受影响,部分地,3.3,"Tridium tridium Niagara 4.6.96.28
Tridium tridium Niagara 4.7.109.20
Tridium tridium Niagara 4.7.110.32
Tridium tridium Niagara 4.8.0.110
Tridium Niagara Enterprise Security 2.4.31
Tridium Niagara Enterprise Security 2.4.45
Tridium Niagara Enterprise Security 4.8.0.35",CVE-2020-14483 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-14483,"Niagara是一套用于支持设备和应用程序连接的平台。

Tridium Niagara和Niagara Enterprise Security中存在安全漏洞，该漏洞源于在TLS握手期间超时，程序无法中断连接，攻击者可利用该漏洞导致Niagara线程挂起。",通用型漏洞,https://us-cert.cisa.gov/ics/advisories/icsa-20-224-03,"厂商已发布了漏洞修复程序，请及时关注更新：
https://www.tridium.com/~/media/tridium/library/documents/sb2020-tridium-2.ashx?la=en",/patchInfo/show/232405,Tridium Niagara和Niagara Enterprise Security存在未明漏洞的补丁,(暂无验证信息),2020-08-19,2020-08-31,2020-08-31,(无附件)
Rapid SCADA本地权限提升漏洞,CNVD-2020-47566,2020-08-22,高,AV:L/AC:L/Au:N/C:C/I:C/A:C,本地,低,不需要认证,完全地,完全地,完全地,7.2,Rapid Rapid Scada 5.8.0,CVE-2020-22722 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-22722,"Rapid SCADA是一款免费、开源、功能齐全的SCADA（数据采集与监控系统）软件。

Rapid SCADA 5.8.0中的ScadaAgentSvc.exe可执行文件存在本地权限提升漏洞。攻击者可通过在应用程序中放置一个恶意.exe文件并将其重命名为ScadaAgentSvc.exe利用该漏洞获取管理员权限。",通用型漏洞,https://nvd.nist.gov/vuln/detail/CVE-2020-22722,"目前厂商暂未发布修复措施解决此安全问题，建议使用此软件的用户随时关注厂商主页或参考网址以获取解决办法：

https://rapidscada.org/",,(无补丁信息),(暂无验证信息),2020-08-17,2020-08-22,2020-08-22,(无附件)
Schneider Electric APC Easy UPS On-Line SoundUploadServlet路径遍历漏洞,CNVD-2020-46796,2020-08-19,高,AV:N/AC:L/Au:N/C:P/I:P/A:P,远程网络,低,不需要认证,部分地,部分地,部分地,7.5,Schneider Electric APC Easy UPS On-Line <=2.0,CVE-2020-7522 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7522,"Schneider Electric APC Easy UPS On-Line是一款UPS解决方案。

Schneider Electric APC Easy UPS On-Line SoundUploadServlet存在路径遍历漏洞，远程攻击者可利用该漏洞提交特殊的请求，可上传任意文件到任意目录。",通用型漏洞,https://us-cert.cisa.gov/ics/advisories/icsa-20-224-02,"厂商已发布了漏洞修复程序，请及时关注更新：
https://www.se.com/ww/en/download/document/SEVD-2020-224-04/",/patchInfo/show/231088,Schneider Electric APC Easy UPS On-Line SoundUploadServlet路径遍历漏洞的补丁,(暂无验证信息),2020-08-17,2020-08-19,2020-08-19,(无附件)
Schneider Electric APC Easy UPS On-Line FileUploadServlet路径遍历漏洞,CNVD-2020-46797,2020-08-19,高,AV:N/AC:L/Au:N/C:P/I:P/A:P,远程网络,低,不需要认证,部分地,部分地,部分地,7.5,Schneider Electric APC Easy UPS On-Line <=2.0,CVE-2020-7521 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7521,"Schneider Electric APC Easy UPS On-Line是一款UPS解决方案。

Schneider Electric APC Easy UPS On-Line FileUploadServlet存在路径遍历漏洞，远程攻击者可利用漏洞该提交特殊的请求，上传任意文件到任意目录。",通用型漏洞,https://us-cert.cisa.gov/ics/advisories/icsa-20-224-02,"厂商已发布了漏洞修复程序，请及时关注更新：
https://www.se.com/ww/en/download/document/SEVD-2020-224-04/",/patchInfo/show/231085,Schneider Electric APC Easy UPS On-Line FileUploadServlet路径遍历漏洞的补丁,(暂无验证信息),2020-08-17,2020-08-19,2020-08-19,(无附件)
Siemens Desigo CC和Desigo CC Compact代码注入漏洞,CNVD-2020-45699,2020-08-12,高,AV:N/AC:L/Au:N/C:C/I:C/A:C,远程网络,低,不需要认证,完全地,完全地,完全地,10.0,"Siemens Desigo CC 4.*
Siemens Desigo CC 3.*
Siemens Desigo CC Compact 4.*
Siemens Desigo CC Compact 5.*",CVE-2020-10055 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-10055,"Desigo CC是用于管理高性能建筑的综合建筑管理平台。Desigo CC Compact为中小型建筑提供量身定制的解决方案。

Siemens Desigo CC和Desigo CC Compact存在代码注入漏洞。允许未经身份验证的远程攻击者以系统权限在服务器上执行任意命令。",通用型漏洞,https://cert-portal.siemens.com/productcert/pdf/ssa-786743.pdf,"用户可参考如下供应商提供的安全公告获得补丁信息：
https://cert-portal.siemens.com/productcert/pdf/ssa-786743.pdf",/patchInfo/show/230230,Siemens Desigo CC和Desigo CC Compact代码注入漏洞的补丁,(暂无验证信息),2020-08-12,2020-08-12,2020-08-16,(无附件)
Siemens Automation License Manager本地权限提升漏洞,CNVD-2020-45700,2020-08-12,高,AV:L/AC:L/Au:N/C:C/I:C/A:C,本地,低,不需要认证,完全地,完全地,完全地,7.2,"Siemens Automation License Manager 6 < V6.0.8
Siemens Automation License Manager 5",CVE-2020-7583 ,http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2020-7583,"Siemens Automation License Manager是德国西门子（Siemens）公司的一套用来处理HMI、SCADA和工业产品中的远程和本地证书的系统。

Siemens Automation License Manager本地权限提升漏洞。该漏洞是由于在执行某些操作时，应用程序未能正确验证用户的权限。允许低权限的用户任意修改写入的文件。",通用型漏洞,https://cert-portal.siemens.com/productcert/pdf/ssa-388646.pdf,"用户可参考如下供应商提供的安全公告获得补丁信息：
https://cert-portal.siemens.com/productcert/pdf/ssa-388646.pdf",/patchInfo/show/230227,Siemens Automation License Manager本地权限提升漏洞的补丁,(暂无验证信息),2020-08-12,2020-08-12,2020-08-12,(无附件)
